dc (V),value(Gm "Vtun" -0.4),value(Gm "Vtun" -0.3),value(Gm "Vtun" -0.2),value(Gm "Vtun" -0.1),value(Gm "Vtun" -2.775558e-17),value(Gm "Vtun" 0.1),value(Gm "Vtun" 0.2),value(Gm "Vtun" 0.3)
-1.490,186.2E-9,185.4E-9,178.7E-9,158.4E-9,134.0E-9,109.9E-9,86.54E-9,63.91E-9
-1.480,186.3E-9,185.5E-9,178.8E-9,158.5E-9,134.1E-9,110.0E-9,86.61E-9,63.96E-9
-1.470,186.4E-9,185.6E-9,178.9E-9,158.6E-9,134.2E-9,110.0E-9,86.66E-9,64.00E-9
-1.460,186.5E-9,185.7E-9,179.0E-9,158.7E-9,134.3E-9,110.1E-9,86.72E-9,64.04E-9
-1.450,186.6E-9,185.8E-9,179.1E-9,158.8E-9,134.3E-9,110.2E-9,86.76E-9,64.08E-9
-1.440,186.6E-9,185.9E-9,179.2E-9,158.9E-9,134.4E-9,110.2E-9,86.81E-9,64.11E-9
-1.430,186.7E-9,185.9E-9,179.3E-9,158.9E-9,134.5E-9,110.3E-9,86.84E-9,64.14E-9
-1.420,186.7E-9,186.0E-9,179.3E-9,159.0E-9,134.5E-9,110.3E-9,86.87E-9,64.17E-9
-1.410,186.8E-9,186.0E-9,179.4E-9,159.0E-9,134.6E-9,110.3E-9,86.90E-9,64.19E-9
-1.400,186.8E-9,186.1E-9,179.4E-9,159.1E-9,134.6E-9,110.4E-9,86.93E-9,64.21E-9
-1.390,186.8E-9,186.1E-9,179.5E-9,159.1E-9,134.6E-9,110.4E-9,86.95E-9,64.22E-9
-1.380,186.8E-9,186.1E-9,179.5E-9,159.2E-9,134.7E-9,110.4E-9,86.96E-9,64.24E-9
-1.370,186.8E-9,186.1E-9,179.6E-9,159.2E-9,134.7E-9,110.4E-9,86.98E-9,64.25E-9
-1.360,186.9E-9,186.2E-9,179.6E-9,159.2E-9,134.7E-9,110.4E-9,86.99E-9,64.26E-9
-1.350,186.9E-9,186.2E-9,179.6E-9,159.2E-9,134.7E-9,110.5E-9,86.99E-9,64.26E-9
-1.340,186.8E-9,186.2E-9,179.6E-9,159.2E-9,134.7E-9,110.5E-9,87.00E-9,64.27E-9
-1.330,186.8E-9,186.2E-9,179.6E-9,159.2E-9,134.7E-9,110.5E-9,87.00E-9,64.27E-9
-1.320,186.8E-9,186.2E-9,179.6E-9,159.2E-9,134.7E-9,110.5E-9,87.00E-9,64.27E-9
-1.310,186.8E-9,186.2E-9,179.6E-9,159.2E-9,134.7E-9,110.5E-9,87.00E-9,64.27E-9
-1.300,186.8E-9,186.1E-9,179.6E-9,159.2E-9,134.7E-9,110.5E-9,87.00E-9,64.27E-9
-1.290,186.8E-9,186.1E-9,179.6E-9,159.2E-9,134.7E-9,110.4E-9,86.99E-9,64.27E-9
-1.280,186.7E-9,186.1E-9,179.6E-9,159.2E-9,134.7E-9,110.4E-9,86.99E-9,64.27E-9
-1.270,186.7E-9,186.1E-9,179.6E-9,159.2E-9,134.7E-9,110.4E-9,86.98E-9,64.26E-9
-1.260,186.7E-9,186.0E-9,179.5E-9,159.2E-9,134.7E-9,110.4E-9,86.97E-9,64.26E-9
-1.250,186.6E-9,186.0E-9,179.5E-9,159.2E-9,134.6E-9,110.4E-9,86.96E-9,64.25E-9
-1.240,186.6E-9,186.0E-9,179.5E-9,159.1E-9,134.6E-9,110.4E-9,86.95E-9,64.24E-9
-1.230,186.6E-9,186.0E-9,179.5E-9,159.1E-9,134.6E-9,110.4E-9,86.93E-9,64.23E-9
-1.220,186.5E-9,185.9E-9,179.5E-9,159.1E-9,134.6E-9,110.4E-9,86.92E-9,64.23E-9
-1.210,186.5E-9,185.9E-9,179.4E-9,159.1E-9,134.6E-9,110.3E-9,86.91E-9,64.22E-9
-1.200,186.4E-9,185.9E-9,179.4E-9,159.0E-9,134.5E-9,110.3E-9,86.89E-9,64.21E-9
-1.190,186.4E-9,185.8E-9,179.4E-9,159.0E-9,134.5E-9,110.3E-9,86.88E-9,64.20E-9
-1.180,186.3E-9,185.8E-9,179.3E-9,159.0E-9,134.5E-9,110.3E-9,86.86E-9,64.19E-9
-1.170,186.3E-9,185.7E-9,179.3E-9,159.0E-9,134.5E-9,110.3E-9,86.85E-9,64.18E-9
-1.160,186.2E-9,185.7E-9,179.3E-9,158.9E-9,134.5E-9,110.2E-9,86.83E-9,64.16E-9
-1.150,186.2E-9,185.7E-9,179.2E-9,158.9E-9,134.4E-9,110.2E-9,86.82E-9,64.15E-9
-1.140,186.1E-9,185.6E-9,179.2E-9,158.9E-9,134.4E-9,110.2E-9,86.80E-9,64.14E-9
-1.130,186.1E-9,185.6E-9,179.2E-9,158.8E-9,134.4E-9,110.2E-9,86.78E-9,64.13E-9
-1.120,186.1E-9,185.5E-9,179.1E-9,158.8E-9,134.4E-9,110.2E-9,86.76E-9,64.12E-9
-1.110,186.0E-9,185.5E-9,179.1E-9,158.8E-9,134.3E-9,110.1E-9,86.75E-9,64.11E-9
-1.100,186.0E-9,185.4E-9,179.1E-9,158.7E-9,134.3E-9,110.1E-9,86.73E-9,64.09E-9
