/V1/PLUS (Vtun=-0.2) X,/V1/PLUS (Vtun=-0.2) Y,/V1/PLUS (Vtun=-0.1) X,/V1/PLUS (Vtun=-0.1) Y,/V1/PLUS (Vtun=0) X,/V1/PLUS (Vtun=0) Y,/V1/PLUS (Vtun=0.1) X,/V1/PLUS (Vtun=0.1) Y,/V1/PLUS (Vtun=0.2) X,/V1/PLUS (Vtun=0.2) Y,/V1/PLUS (Vtun=0.3) X,/V1/PLUS (Vtun=0.3) Y
-0.4999999999999998,-9.917485624277753e-08,-0.4999999999999998,-9.312987736143017e-08,-0.4999999999999998,-8.081296984395816e-08,-0.4999999999999998,-6.844733764036785e-08,-0.4999999999999998,-5.634789327083945e-08,-0.4999999999999998,-4.447047916890589e-08
-0.3999999999999998,-7.932541506786412e-08,-0.3999999999999998,-7.449016785280688e-08,-0.3999999999999998,-6.463805262717708e-08,-0.3999999999999998,-5.474736279939605e-08,-0.3999999999999998,-4.506962319152508e-08,-0.3999999999999998,-3.556958030625093e-08
-0.2999999999999998,-5.94858332097832e-08,-0.2999999999999998,-5.585982479186907e-08,-0.2999999999999998,-4.84715341800114e-08,-0.2999999999999998,-4.105454803609707e-08,-0.2999999999999998,-3.379727511963399e-08,-0.2999999999999998,-2.667331756901253e-08
-0.1999999999999998,-3.965337598666673e-08,-0.1999999999999998,-3.723623953145428e-08,-0.1999999999999998,-3.231108222898483e-08,-0.1999999999999998,-2.736690637112996e-08,-0.1999999999999998,-2.252920646545801e-08,-0.1999999999999998,-1.778040403928401e-08
-0.09999999999999981,-1.982554794498255e-08,-0.09999999999999981,-1.861704029440771e-08,-0.09999999999999981,-1.615457081543725e-08,-0.09999999999999981,-1.368262554047501e-08,-0.09999999999999981,-1.126391841984827e-08,-0.09999999999999981,-8.889666243433433e-09
0,2.050613825743458e-17,0,2.232585619571243e-17,0,1.906991448602611e-17,0,1.61777734271855e-17,0,1.332025484006392e-17,0,1.04731388763258e-17
0.1,1.982554798858592e-08,0.1,1.861704034145159e-08,0.1,1.615457085569415e-08,0.1,1.368262557458984e-08,0.1,1.126391844798589e-08,0.1,8.889666265505536e-09
0.2,3.965337603848881e-08,0.2,3.723623958602388e-08,0.2,3.231108227578051e-08,0.2,2.736690641079859e-08,0.2,2.252920649810878e-08,0.2,1.778040406497766e-08
0.3,5.948583327648951e-08,0.3,5.585982486012408e-08,0.3,4.847153423869143e-08,0.3,4.105454808585177e-08,0.3,3.379727516065626e-08,0.3,2.667331760128133e-08
0.4,7.932541515766637e-08,0.4,7.449016794242008e-08,0.4,6.463805270444321e-08,0.4,5.474736286489257e-08,0.4,4.506962324547283e-08,0.4,3.556958034870535e-08
0.5,9.917485636551755e-08,0.5,9.312987748157584e-08,0.5,8.081296994781657e-08,0.5,6.844733772840955e-08,0.5,5.634789334334093e-08,0.5,4.447047922603838e-08
0.6,1.190372429959678e-07,0.6,1.117819110139123e-07,0.6,9.699892218082014e-08,0.6,8.215671703581542e-08,0.6,6.763393984805071e-08,0.6,5.337746827374234e-08
0.7,1.38916138131062e-07,0.7,1.304497017369318e-07,0.7,1.131989601242126e-07,0.7,9.587809614943908e-08,0.7,7.892990599203165e-08,0.7,6.229222944730994e-08
0.7999999999999999,1.588156915533368e-07,0.7999999999999999,1.491372724417411e-07,0.7999999999999999,1.294166485929087e-07,0.7999999999999999,1.096145057472431e-07,0.7999999999999999,9.023829320801146e-08,0.7999999999999999,7.121672735592827e-08
0.8999999999999999,1.787406530253823e-07,0.8999999999999999,1.678492589132903e-07,0.8999999999999999,1.456560875933214e-07,0.8999999999999999,1.233694296628878e-07,0.8999999999999999,1.015619757716354e-07,0.8999999999999999,8.015322081131172e-08
0.9999999999999999,1.986961040508876e-07,0.9999999999999999,1.86590662214972e-07,0.9999999999999999,1.619216978789252e-07,0.9999999999999999,1.371466232640012e-07,0.9999999999999999,1.129040512784674e-07,0.9999999999999999,8.910414479960211e-08
1.1,2.186865256971416e-07,1.1,2.053659533613903e-07,1.1,1.782174432876778e-07,1.1,1.509494549101674e-07,1.1,1.242672986294895e-07,1.1,9.807168264886675e-08
1.2,2.387134792763499e-07,1.2,2.2417681249289e-07,1.2,1.945448646236979e-07,1.2,1.647792410892848e-07,1.2,1.356528078910825e-07,1.2,1.070566845282461e-07
1.3,2.587706589992754e-07,1.3,2.430172599097155e-07,1.3,2.108988419977992e-07,1.3,1.786316581902301e-07,1.3,1.470570274551351e-07,1.3,1.160563366550782e-07
1.4,2.78834452107594e-07,1.4,2.618642911010987e-07,1.4,2.272594385463101e-07,1.4,1.924898363876718e-07,1.4,1.584660811101643e-07,1.4,1.250596755132673e-07
1.5,2.988477781736906e-07,1.5,2.806617184296747e-07,1.5,2.435778179230596e-07,1.5,2.063124359640399e-07,1.5,1.698459567063764e-07,1.5,1.340398432994081e-07
