Vcm (pass) X,
-0.03988618480392769,3
-0.03002228957457174,14
-0.0201583943452158,103
-0.01029449911585985,275
-0.0004306038865038997,345
0.009433291342852049,208
0.019297186572208,40
0.02916108180156395,7
0.03902497703091989,4
0.04888887226027584,1
