freq (Hz),"value(ganho ""Vtun"" 0.0) (dB)"
2.63E+03,-6.21
2.69E+03,-6.217
2.75E+03,-6.224
2.82E+03,-6.231
2.88E+03,-6.239
2.95E+03,-6.247
3.02E+03,-6.255
3.09E+03,-6.263
3.16E+03,-6.272
3.24E+03,-6.281
3.31E+03,-6.291
3.39E+03,-6.301
3.47E+03,-6.311
3.55E+03,-6.322
3.63E+03,-6.333
3.72E+03,-6.344
3.80E+03,-6.355
3.89E+03,-6.367
3.98E+03,-6.38
4.07E+03,-6.393
4.17E+03,-6.406
4.27E+03,-6.419
4.37E+03,-6.433
4.47E+03,-6.448
4.57E+03,-6.462
4.68E+03,-6.477
4.79E+03,-6.493
4.90E+03,-6.508
5.01E+03,-6.524
5.13E+03,-6.541
5.25E+03,-6.557
5.37E+03,-6.574
5.50E+03,-6.591
5.62E+03,-6.608
5.75E+03,-6.626
5.89E+03,-6.644
6.03E+03,-6.661
6.17E+03,-6.679
6.31E+03,-6.697
6.46E+03,-6.714
6.61E+03,-6.732
6.76E+03,-6.749
6.92E+03,-6.766
7.08E+03,-6.782
7.24E+03,-6.798
7.41E+03,-6.813
7.59E+03,-6.828
7.76E+03,-6.842
7.94E+03,-6.854
8.13E+03,-6.866
8.32E+03,-6.876
8.51E+03,-6.885
8.71E+03,-6.892
8.91E+03,-6.898
9.12E+03,-6.901
9.33E+03,-6.902
9.55E+03,-6.9
9.77E+03,-6.896
1.00E+04,-6.889
1.02E+04,-6.878
1.05E+04,-6.864
1.07E+04,-6.846
1.10E+04,-6.824
1.12E+04,-6.798
1.15E+04,-6.767
1.18E+04,-6.732
1.20E+04,-6.691
1.23E+04,-6.645
1.26E+04,-6.595
1.29E+04,-6.539
1.32E+04,-6.478
1.35E+04,-6.413
1.38E+04,-6.344
1.41E+04,-6.273
1.45E+04,-6.201
1.48E+04,-6.13
1.51E+04,-6.063
1.55E+04,-6.004
1.59E+04,-5.958
1.62E+04,-5.93
1.66E+04,-5.927
1.70E+04,-5.959
1.74E+04,-6.033
1.78E+04,-6.159
1.82E+04,-6.345
1.86E+04,-6.598
1.91E+04,-6.924
1.95E+04,-7.322
2.00E+04,-7.793
2.04E+04,-8.329
2.09E+04,-8.925
2.14E+04,-9.571
2.19E+04,-10.26
2.24E+04,-10.98
2.29E+04,-11.72
2.34E+04,-12.48
2.40E+04,-13.26
2.46E+04,-14.04
2.51E+04,-14.82
2.57E+04,-15.6
2.63E+04,-16.38
2.69E+04,-17.15
2.75E+04,-17.93
2.82E+04,-18.69
2.88E+04,-19.45
2.95E+04,-20.2
3.02E+04,-20.95
3.09E+04,-21.69
3.16E+04,-22.42
3.24E+04,-23.15
3.31E+04,-23.87
3.39E+04,-24.59
3.47E+04,-25.3
3.55E+04,-26
3.63E+04,-26.7
3.72E+04,-27.39
3.80E+04,-28.08
3.89E+04,-28.77
3.98E+04,-29.45
4.07E+04,-30.13
4.17E+04,-30.8
4.27E+04,-31.47
4.37E+04,-32.13
4.47E+04,-32.8
4.57E+04,-33.45
4.68E+04,-34.11
4.79E+04,-34.76
4.90E+04,-35.42
5.01E+04,-36.06
5.13E+04,-36.71
5.25E+04,-37.35
5.37E+04,-37.99
5.50E+04,-38.63
5.62E+04,-39.27
5.75E+04,-39.91
5.89E+04,-40.54
6.03E+04,-41.17
6.17E+04,-41.81
6.31E+04,-42.44
6.46E+04,-43.06
6.61E+04,-43.69
6.76E+04,-44.32
6.92E+04,-44.94
7.08E+04,-45.56
7.24E+04,-46.18
7.41E+04,-46.81
7.59E+04,-47.43
7.76E+04,-48.04
7.94E+04,-48.66
8.13E+04,-49.28
8.32E+04,-49.9
8.51E+04,-50.51
8.71E+04,-51.13
8.91E+04,-51.74
9.12E+04,-52.35
9.33E+04,-52.97
9.55E+04,-53.58
9.77E+04,-54.19
1.00E+05,-54.8
1.02E+05,-55.41
1.05E+05,-56.02
1.07E+05,-56.63
1.10E+05,-57.24
1.12E+05,-57.85
1.15E+05,-58.46
1.18E+05,-59.07
1.20E+05,-59.67
1.23E+05,-60.28
1.26E+05,-60.89
1.29E+05,-61.5
1.32E+05,-62.1
1.35E+05,-62.71
1.38E+05,-63.31
1.41E+05,-63.92
1.45E+05,-64.52
1.48E+05,-65.13
1.51E+05,-65.73
1.55E+05,-66.34
1.59E+05,-66.94
1.62E+05,-67.55
1.66E+05,-68.15
1.70E+05,-68.75
1.74E+05,-69.36
1.78E+05,-69.96
1.82E+05,-70.56
1.86E+05,-71.17
1.91E+05,-71.77
1.95E+05,-72.37
2.00E+05,-72.97
2.04E+05,-73.58
2.09E+05,-74.18
2.14E+05,-74.78
2.19E+05,-75.38
2.24E+05,-75.98
2.29E+05,-76.59
2.34E+05,-77.19
2.40E+05,-77.79
2.46E+05,-78.39
2.51E+05,-78.99
2.57E+05,-79.59
2.63E+05,-80.19
2.69E+05,-80.8
2.75E+05,-81.4
2.82E+05,-82
2.88E+05,-82.6
2.95E+05,-83.2
3.02E+05,-83.8
3.09E+05,-84.4
3.16E+05,-85
3.24E+05,-85.6
3.31E+05,-86.2
3.39E+05,-86.8
3.47E+05,-87.4
3.55E+05,-88
3.63E+05,-88.6
3.72E+05,-89.2
3.80E+05,-89.8
3.89E+05,-90.4
3.98E+05,-91
4.07E+05,-91.6
4.17E+05,-92.2
4.27E+05,-92.8
4.37E+05,-93.39
4.47E+05,-93.99
4.57E+05,-94.59
4.68E+05,-95.19
4.79E+05,-95.79
4.90E+05,-96.39
5.01E+05,-96.99
5.13E+05,-97.59
5.25E+05,-98.18
5.37E+05,-98.78
5.50E+05,-99.38
5.62E+05,-99.98
5.75E+05,-100.6
5.89E+05,-101.2
6.03E+05,-101.8
6.17E+05,-102.4
6.31E+05,-103
6.46E+05,-103.6
6.61E+05,-104.2
6.76E+05,-104.8
6.92E+05,-105.4
7.08E+05,-105.9
7.24E+05,-106.5
7.41E+05,-107.1
7.59E+05,-107.7
7.76E+05,-108.3
7.94E+05,-108.9
8.13E+05,-109.5
8.32E+05,-110.1
8.51E+05,-110.7
8.71E+05,-111.3
8.91E+05,-111.9
9.12E+05,-112.5
9.33E+05,-113.1
9.55E+05,-113.7
9.77E+05,-114.3
1.00E+06,-114.9
1.02E+06,-115.5
1.05E+06,-116.1
1.07E+06,-116.6
1.10E+06,-117.2
1.12E+06,-117.8
1.15E+06,-118.4
1.18E+06,-119
1.20E+06,-119.6
1.23E+06,-120.2
1.26E+06,-120.8
1.29E+06,-121.4
1.32E+06,-121.9
1.35E+06,-122.5
1.38E+06,-123.1
1.41E+06,-123.7
1.45E+06,-124.3
1.48E+06,-124.9
1.51E+06,-125.5
1.55E+06,-126
1.59E+06,-126.6
1.62E+06,-127.2
1.66E+06,-127.8
1.70E+06,-128.4
1.74E+06,-128.9
1.78E+06,-129.5
1.82E+06,-130.1
1.86E+06,-130.7
1.91E+06,-131.2
1.95E+06,-131.8
2.00E+06,-132.4
2.04E+06,-133
2.09E+06,-133.5
2.14E+06,-134.1
2.19E+06,-134.7
2.24E+06,-135.2
2.29E+06,-135.8
2.34E+06,-136.4
2.40E+06,-136.9
2.46E+06,-137.5
2.51E+06,-138.1
2.57E+06,-138.6
2.63E+06,-139.2
2.69E+06,-139.7
2.75E+06,-140.3
2.82E+06,-140.8
2.88E+06,-141.4
2.95E+06,-141.9
3.02E+06,-142.5
3.09E+06,-143
3.16E+06,-143.6
3.24E+06,-144.1
3.31E+06,-144.6
3.39E+06,-145.2
3.47E+06,-145.7
3.55E+06,-146.3
3.63E+06,-146.8
3.72E+06,-147.3
3.80E+06,-147.8
3.89E+06,-148.4
3.98E+06,-148.9
4.07E+06,-149.4
4.17E+06,-149.9
4.27E+06,-150.5
4.37E+06,-151
4.47E+06,-151.5
4.57E+06,-152
4.68E+06,-152.5
4.79E+06,-153.1
4.90E+06,-153.6
5.01E+06,-154.1
5.13E+06,-154.6
5.25E+06,-155.1
5.37E+06,-155.6
5.50E+06,-156.1
5.62E+06,-156.7
5.75E+06,-157.2
5.89E+06,-157.7
6.03E+06,-158.2
6.17E+06,-158.7
6.31E+06,-159.3
6.46E+06,-159.8
6.61E+06,-160.3
6.76E+06,-160.9
6.92E+06,-161.4
7.08E+06,-161.9
7.24E+06,-162.5
7.41E+06,-163.1
7.59E+06,-163.6
7.76E+06,-164.2
7.94E+06,-164.8
8.13E+06,-165.4
8.32E+06,-166
8.51E+06,-166.6
8.71E+06,-167.2
8.91E+06,-167.8
9.12E+06,-168.5
9.33E+06,-169.2
9.55E+06,-169.8
9.77E+06,-170.5
1.00E+07,-171.2
