freq (Hz),value(ganho "Vtun" 0.0) (dB)
47.86,-6.054
48.98,-6.054
50.12,-6.054
51.29,-6.054
52.48,-6.054
53.70,-6.054
54.95,-6.054
56.23,-6.054
57.54,-6.054
58.88,-6.054
60.26,-6.054
61.66,-6.054
63.10,-6.054
64.57,-6.054
66.07,-6.054
67.61,-6.054
69.18,-6.054
70.79,-6.054
72.44,-6.054
74.13,-6.054
75.86,-6.054
77.62,-6.054
79.43,-6.054
81.28,-6.054
83.18,-6.054
85.11,-6.054
87.10,-6.054
89.13,-6.054
91.20,-6.054
93.33,-6.054
95.50,-6.054
97.72,-6.054
100.0,-6.054
102.3,-6.054
104.7,-6.054
107.2,-6.054
109.6,-6.054
112.2,-6.054
114.8,-6.054
117.5,-6.054
120.2,-6.055
123.0,-6.055
125.9,-6.055
128.8,-6.055
131.8,-6.055
134.9,-6.055
138.0,-6.055
141.3,-6.055
144.5,-6.055
147.9,-6.055
151.4,-6.055
154.9,-6.055
158.5,-6.055
162.2,-6.055
166.0,-6.055
169.8,-6.055
173.8,-6.055
177.8,-6.055
182.0,-6.055
186.2,-6.055
190.5,-6.055
195.0,-6.055
199.5,-6.055
204.2,-6.055
208.9,-6.055
213.8,-6.055
218.8,-6.055
223.9,-6.055
229.1,-6.055
234.4,-6.055
239.9,-6.056
245.5,-6.056
251.2,-6.056
257.0,-6.056
263.0,-6.056
269.2,-6.056
275.4,-6.056
281.8,-6.056
288.4,-6.056
295.1,-6.056
302.0,-6.056
309.0,-6.056
316.2,-6.057
323.6,-6.057
331.1,-6.057
338.8,-6.057
346.7,-6.057
354.8,-6.057
363.1,-6.057
371.5,-6.057
380.2,-6.058
389.0,-6.058
398.1,-6.058
407.4,-6.058
416.9,-6.058
426.6,-6.059
436.5,-6.059
446.7,-6.059
457.1,-6.059
467.7,-6.059
478.6,-6.060
489.8,-6.060
501.2,-6.060
512.9,-6.060
524.8,-6.061
537.0,-6.061
549.5,-6.061
562.3,-6.062
575.4,-6.062
588.8,-6.063
602.6,-6.063
616.6,-6.063
631.0,-6.064
645.7,-6.064
660.7,-6.065
676.1,-6.065
691.8,-6.066
707.9,-6.066
724.4,-6.067
741.3,-6.067
758.6,-6.068
776.2,-6.069
794.3,-6.069
812.8,-6.070
831.8,-6.071
851.1,-6.072
871.0,-6.072
891.3,-6.073
912.0,-6.074
933.3,-6.075
955.0,-6.076
977.2,-6.077
1.000E3,-6.078
1.023E3,-6.079
1.047E3,-6.080
1.072E3,-6.082
1.096E3,-6.083
1.122E3,-6.084
1.148E3,-6.086
1.175E3,-6.087
1.202E3,-6.089
1.230E3,-6.090
1.259E3,-6.092
1.288E3,-6.094
1.318E3,-6.095
1.349E3,-6.097
1.380E3,-6.099
1.413E3,-6.101
1.445E3,-6.104
1.479E3,-6.106
1.514E3,-6.108
1.549E3,-6.111
1.585E3,-6.113
1.622E3,-6.116
1.660E3,-6.119
1.698E3,-6.122
1.738E3,-6.125
